0;경제와 관련되어 있는 요소입니다.
작업대의 진행 정도에 따라 다른 등급의 업그레이드 부품을 사용해야 합니다. 초기형 작업대에는 '기본 업그레이드' 부품을, 이후 제작하는 작업대에선 '고급 업그레이드' 부품이나 '현대식 업그레이드' 부품을 사용합니다. 각 업그레이드 부품은 총 5단계가 있고, 가장 높은 단계를 달성하면 특성 업그레이드가 가능합니다.

고정 재료를 사용하는 몇몇 조합법이 있습니다. 고정 재료는 재료 소모량 감소의 영향을 받지 않지만, 고정 재료가 포함된 조합법의 제작 시간 단축의 기능에는 영향을 주지 않습니다.
80;특성 업그레이드
81;가장 높은 단계의 업그레이드 부품은 해당하는 [Specialty|Specialties]를 가진 주민만 제작할 수 있습니다. 다른 업그레이드와는 달리, 이 단계의 업그레이드를 장착하면 특정 전문 기술이 필요한 제작을 할 때 자원의 소모량과 제작 시간이 추가로 감소합니다.

일부 특성과 관련된 작업대는 업그레이드 부품과 관련된 등급의 구분이 있습니다. 예를 들어, 전문 기술 [CarpentrySkill]에선 [CarpentryBasicUpgradeItem]을 사용하는 [CarpentryTableItem]가 있고 [CarpentryAdvancedUpgradeItem]을 사용하는 [SawmillItem]가 있습니다.
82;주민들이 자신의 작업대에 업그레이드 부품을 장착할 수 있게 됩니다.
83;파이프 요소를 이용해 시민이 구조물의 스모그 방출 정도나, 물 사용량, 하수의 흐름 상태를 알 수 있습니다.
84;스모그 배출
85;스모그 배출 툴팁을 확인하여, 현재 구조물들의 오염 배출 정도와 세계의 [Pollution] 정도에 대한 정보를 확인할 수 있습니다.

파이프를 이용하여 대기 오염의 흐름을 조정할 수 있습니다. 스모그 배출의 기능을 하는 파이프는 여러 개의 입구를 설정할 수 있지만, 출구는 모든 방(건물)의 바깥쪽이면서, 구조물의 위쪽에 위치해야 하며 하나만 설정할 수 있습니다.

대기오염을 유발하는 스모그를 만들어내는 구조물은 구조물이 작동 중일 때만 스모그가 발생합니다.
86;물과 하수
87;물을 공급받아야 하는 구조물과 물을 공급해주는 펌프는 파이프 시스템으로 연결되어 있습니다. 물을 사용하는 파이프 시스템은 물을 공급하는 입구인 펌프와 물을 공급받아야 할 여러 구조물의 출구를 연결할 수 있습니다.

파이프 요소가 포함된 수도 툴팁을 확인하여, 주민들이 펌프가 물을 얼마나 공급 중인지, 구조물들이 물을 얼마나 사용 중인지 확인할 수 있습니다. 공급되고 있는 물의 양이 충분하지 못하다면, 구조물들이 작동 중지 상태가 될 것입니다.

파이프엔 수도 파이프와 비슷한 기능을 하는 하수 배출 기능도 포함하고 있습니다, 하지만 [Sewage]의 경우, 배출되는 하수가 토양오염의 원인이 됩니다. [Waste Filters|Waste Filter Item]가 발명이 되고 나면, 하수를 배출하는 곳에 필터를 연결하여 토양 오염을 완화 할 수 있습니다.
88;파이프 요소는 주민들이 구조물의 스모그 배출량과 물 사용량의 정보를 확인할 수 있게 됩니다.
89;에너지 요소는 특정 장소의 전력망의 상황을 확인하는 데에 사용됩니다. 또한, 연료를 이용해 작동하는 구조물의 소비량을 확인하는 데에도 사용됩니다.
90;연료
91;연료를 소비하는 구조물은 이곳에서 연료를 공급할 수 있습니다, 또한 구조물은 다른 종류의 연료를 필요로 할 수도 있습니다. 구조물이 어떤 재료를 연료로 사용하는지에 대한 목록을 툴팁으로 확인할 수 있습니다. 연료는 [Storage Component]를 이용해서 공급해 줄 수도 있습니다.

구조물이 작동하는 동안, 연료 소모 단위인 와트(W)로 계산하여 매초 소모됩니다. 여러 종류의 연료마다, 얼마 만큼의 에너지가 발생하는지 환산한 단위인 줄(J)로 계산하여 나타냅니다. 초 당 소모되는 1와트당, 1줄 만큼의 에너지가 소모됩니다. 연료의 경우, 구조물이 작동 중이 아닐 시 소모를 중단합니다.
92;에너지 통계
93;구조물에서 사용하는 [Power]의 종류는 두 가지로, 전력과 기계동력이 있습니다. 전력망에선 구조물에서 필요한 에너지의 종류와 수급량에 관해 확인할 수 있습니다. 만약 구조물에 공급하는 에너지가 필요한 에너지의 양보다 작을 경우, 구조물은 작동 중지 상태가 됩니다.

연료를 사용하여 전력을 생산하는 구조물은 근처에 전력이 필요한 구조물이 없다면 자동으로 작동 중지됩니다. 그러므로 연료를 아끼기 위해 켜거나 끌 필요는 없습니다.
94;에너지 요소를 통해 전력과 연료의 수급에 관해 확인할 수 있습니다.
95;수리 요소를 이용해 주민들이 도구를 [ToolBenchItem]에서 수리할 수 있게 됩니다.
96;부러진 도구를 넣으면, 수리에 필요한 재료가 자동으로 나타납니다. 높은 등급의 도구는 [Specialty|Specialties]에 맞는 주민이 도구를 수리하면 소모되는 재료가 감소합니다. 수리할 때 필요한 재료는 주민이 직접 채우거나, [Storage Component]를 이용해 연결되어있는 저장소에서 자동으로 채울 수 있습니다.

도구 작업대의 소유자가 [Credit Component]를 이용해 다른 주민이 작업대에서 수리 비용을 청구 할 수 있습니다. 수리 기능을 다른 사람들도 이용할 수 있게 하려면, [Authorization Component]를 이용해 사용할 수 있는 권리를 부여해야 합니다.
97;주민들이 도구를 수리할 수 있게 됩니다.
98;상태 요소를 통해 구조물이 작동 할 수 있는 상태의 조건을 주민이 확인 할 수 있습니다, 해당 구조물 상태 목록에 적힌 조건을 충족하면 작동합니다. 만약 구조물이 [Pollution]을 발생시킨다면, 이 역시 상태 요소를 통해 구조물이 작동할 때 만들어내는 오염물질을 확인할 수 있습니다.
99;구조물 상태
100;구조물을 작동하기 위해선 상태 요소에 나타난 조건들을 만족하는 상태여야만 합니다. 다음은 상태요소에서 확인 할 수 있는 조건들의 예시입니다.

- 유효한 [Room|Rooms]의 형태인 건물 안에 위치해야 합니다

- 충분한 양의 [Power]를 가지고 있어야 합니다

- [Sewage] 처리 시스템이 작동 중이어야 합니다
101;상태 표시 아이콘
102;주민이 상태 요소의 조건을 부합시키려 할 때, 구조물의 메뉴 창 왼쪽 상단에 위치하는 상태 표시 아이콘으로 구조물의 상태를 빠르게 확인할 수 있습니다. 초록색 원일 경우 작동 중, 반대로 붉은색 원일 경우 작동 중지 상태입니다.
103;구조물이 작동 중, 또는 작동 중지 상태와 그 이유를 알려줍니다.
104;저장 요소를 통해 저장 구조물의 인벤토리를 관리하고, 보관함이 필요한 구조물과 연결시킬 수 있습니다.
105;저장고 관리하기
106;저장 구조물의 인벤토리는 근처의 저장고끼리 연결되어 있어 물품의 묶음을 옮길 수 있습니다.

'쉬프트' 키를 누른 채로 물품을 드래그하여 옮기면 동일한 물품이 모두같이 다른 저장고로 옮겨집니다. '쉬프트' 키를 누른 채 물품을 클릭해 물품의 묶음을 원하는 만큼 나누어 옮길 수 있습니다. '컨트롤' 키를 누르고 물품의 묶음을 클릭하면 절반을 나누어 옮깁니다.

[StockpileItem]와 같은 저장 구조물의 경우, 모든 물품을 저장할 수 있습니다. 하지만 [StorageChestItem]과 같은 구조물의 경우, 손에 들 수 없는 물품만 저장 가능합니다.
107;저장 구조물 연결하기
108;저장 요소의 제목 옆 체크 박스를 통해 구조물과 저장고를 연결시킬 수 있습니다. 한번 연결이 되면, 구조물은 저장고의 모든 물품에 대한 권한을 얻고 저장 구조물을 권한을 얻은 구조물의 저장을 위한 공간으로 사용합니다. 보관 구조물과 연결 시킬 때, 저장 요소의 최상단에 있는 저장 구조물이 저장의 기능을 가장 먼저 수행합니다. 저장고의 순서는 목록에서 드래그를 통해 우선순위를 정할 수 있습니다.
109;구조물의 인벤토리를 관리하고 저장고를 연결 시킬 수 있게 됩니다.
110;운석을 막기 위한 기술의 발전은 거래를 통한 경제의 번영이 필수적입니다.
111;은행 계좌는 한 명 또는 그 이상의 주민이 [Currency]를 보관하기 위한 저장 수단입니다. 세계에 발을 들이는 모든 주민은 한도가 없는 자신만의 크레딧이 있는 개인 은행 계좌를 가지고 시작하게 됩니다. 추가로 계좌를 개설하고 권한을 부여하기 위해선 [Bank|bank component]를 이용해야 합니다.
은행 계좌는 여러 화폐를 체계화하기 유용하고, 여러 사람에게 자금의 접근 권한을 부여할 수 있으며, 징수한 세금을 보관하고 누가 관리할 수 있는지 정할 수 있습니다. 정부는 보통 세금의 흐름을 관리하기 위하여 여러 개의 계좌를 개설해 관리해, 그 자금이 의도한 대로 사용될 수 있도록 노력합니다. 모든 은행 계좌는 보관 할 수 있는 화폐의 종류와 금액의 한도가 없으며, 화폐별로 따로 기록을 추적할 수 있습니다. Eco의 모든 거래는 공개적이기에, 은행 계좌를 클릭하여 화폐의 사용기록과 입금, 출금의 내용을 확인 할 수 있습니다.
112;은행 계좌는 주민들과 정부 기관이 다양한 용도로 사용하는 화폐의 보관과 화폐의 종류를 구분하게 해주는 역할을 합니다.
113;    계약은 두 명의 주민이 [Contract Board|contract board component]를 이용해서 한 합의입니다.  이 합의에는 여러 가지의 조항을 설정할 수 있고, 어떤 작업을 할 것인지 보상은 어떻게 지급할 것인지의 조합을 특정할 수 있습니다.  계약은 의뢰인이 게시하며, 해당 계약을 수행할 수 있는 주민은 언제나 계약을 수락할 수 있습니다.
114;계약의 예시는 다음과 같습니다:    - 지정한 두 지점을 잇는 도로 건설하기.
    - 이자율과 기한을 정한 대출금을 빌려주기
    - 지정한 장소에 필요한 조건을 갖춘 건물(방) 건설하기.
    - 직접 의뢰할 사항을 작성해서, 그 사항을 끝내면 의뢰인이 직접 확인 후 완료/실패 여부 판단하기.
115;계약 기능은 두 주민 간의 합의 사항을 성립 시켜 유지할 수 있게 도와줍니다.
116;제작은 재료, 노동력, 또는 상황에 따라 에너지까지 사용해 물품을 만들어내는 작업입니다.  하지만 제작을 함으로써 환경에 부정적으로 작용하는 오염을 일으키는 부산물이 생성될 수 있습니다.  제작은 경제의 중추 역할을 하며, 우리 주변 생태계에서 생성되는 자원을 필요로 하며, 숙련된 기술력이 필요할 수도, [Power|Power Component] 또는 [Sewage] 시스템처럼 다른 구조물에서 생성되는 자원이 필요할 수도 있습니다.

[Crafting Component]을 포함한 모든 작업대는 목록에 나열된 물품들을 만들 수 있습니다. 작업대는 공유가 가능한 구조물인데, 작업대마다 설정되어있는 [Authorization Component]를 이용해, 작업대를 사용할 수 있는 사람을 선택하고, 작업대를 공유하는 대신 [Credit Component]의 요금 기능을 설정해 화폐를 받을 수 있습니다.

자원의 공급과 물품의 회수 모두 작업대에서 직접 할 수 있지만, [Storage Component]로 연결하여 상호작용 할 수 있습니다.  저장고에서 재료와 생산 물품을 보관 할 수 있게 하여 대량의 작업 주문을 자동으로 진행 시킬 수 있습니다.

대부분의 조합법은 특정 [Skill|skills overview]의 노동력을 이용합니다.  누구나 조합법을 선택하고 재료를 공급할 순 있지만, 요구하는 기술을 가진 주민만이 노동력을 추가할 수 있습니다.  그렇기에 자신이 수행 가능한 작업을 하는 주민들이 모여서 물품을 생산하는, [Work Parties]을 게시할 수도 있습니다.
117;제작은 특정 작업대에서 주민이 물품을 생산하는 행동입니다.
118;화폐는 상품의 값어치를 나타내는 척도로써, 거래를 보다 간편하게 하기위한 도구입니다. 화폐의 값어치는 어떻게 사용하냐에 따라 값이 매겨집니다.
Eco의 세계에선, 보증된 화폐와 보증되지 않은 화폐 두 가지 종류의 화폐가 존재합니다.

보증되지 않은 화폐는 사회적인 힘으로 가치를 인정받는 명목화폐이며, 모든 플레이어는 시작과 함께 자신만의 무한한 화폐를 가지고 시작하게 됩니다. 이 화폐들은 특히 세계 공통화폐가 생기기 이전 아주 유용하게 사용됩니다. 그렇지만 이 화폐는 잔액에 한계가 없기에 무분별하게 이용해 화폐 자체의 가치를 떨어뜨릴 가능성이 있으므로 자신의 화폐의 가치를 조작하지 않겠다는 강력한 신뢰를 얻어야만 합니다.

보증 화폐는 더욱 안정적인 화폐의 종류입니다. 보증 화폐는 사용 가능한 재료를 보증 물품으로 이용해 [Mint|Mint Component]에서 화폐를 생산할 수 있습니다. 더 많은 화폐를 생산하기 위해선 같은 가치만큼의 동일한 재료가 필요합니다. 이러한 화폐 생산 방식은 생산의 한계가 확실히 정해져 있기에 세계 전체와 거래를 하기 위해 필요한 믿음의 지반을 더욱 튼튼히 다질 수 있습니다.  대부분의 게임에서, 세계의 시간이 흘러감에 따라 게임의 경제가 틀을 잡아 성장해 나가면서 여러 플레이어의 화폐를 보증 화폐 하나 또는 몇 개로 통일하는 선택을 하게 되고, 조금 더 규모가 큰 거래를 하며 협업 또한 요구될 것입니다.

화폐는 경제 요약 창에서 다른 사람에게 이체하거나, [Trade]를 통해 전해줄 수 있습니다.  모든 화폐는 [Bank Account|Bank Accounts]에 보관됩니다.
119;화폐는 거래를 쉽게 만들어주는 사회의 산물입니다.
120;'경제의 진정한 가치는, 돈의 사용금액이 아닌 올바른 판단에서 나온다.'    헨리 포드
121;경제는 기본적으로 농사와 같은 형태로, 물품을 생산해 주민들과 거래를 하고, [Government|Government Overview]가 관리하는 [Ecosystem|Ecosystem Overview]의 틀 안에서 이루어집니다. 주민들은 이 경제 구조를 무너뜨리지 않고 유연하게 운영해 무리한 발전으로 행성이 망가지지 않게 오염을 최대한 늦추어, 우리를 향해 다가오는 운석을 막기 위한 기술을 발전시켜야 합니다.
122;경제의 기본 틀
123;  - [Crafting]. 공업 기구를 이용하여 새로운 물품을 만들어 냅니다.
 - [Trade]. 서로 다른 특성을 가진 주민들끼리 자신이 생산한 물품을 거래합니다.
 - [Transport]. 자원을 쉽게 사용하기 위해 옮겨, 경제활동의 기반을 위한 기초적인 시설을 만듭니다.
 - [Research]. 더 나은 사회를 만들기 위해 인간의 지식을 연구합니다.
 - [Currency]. 주민이 경제활동을 더욱더 편하게 하기 위해 만들어낸, 물품의 가치를 나타내는 개념입니다.
 - [Work Parties]. 협업해 보상을 나누기 위해 조직한 협동 계약입니다.
 - [Contracts]. 두 주민 간의 보상을 전제로 한 약속으로, 자신에게 필요한 노동 또는 다른 합의를 해결할 수 있습니다.
 - [Bank Accounts]. 권한 설정이 가능한 화폐의 저장 수단입니다.
 - [Finance]. 다른 주민에게 자금을 융통해 수익을 창출함과 동시에 그들의 발전에 도움을 줍니다.
124;경제는 자원의 사용, 거래, 그리고 기술적 진보 등 주민이 행하는 활동으로 이루어져 있습니다.
125;[Contracts]을 이용해, Eco의 주민은 당사자 간 대출을 해주거나 받을 수 있는 계약을 맺을 수 있으며, 해당 자금의 이자 상환이나 납부 기한에 대한 내용을 자동으로 확인하여 추적됩니다.  대출 기능은 새로운 주민과 더 오래 플레이하여 부를 축적한 주민 모두 이득을 취할 수 있으며 사회적 발전에도 도움이 좋은 방법입니다.
대출을 해주는 주민은, 계약하는 사람에게 이자를 받는 것을 염두에 둔 금액을 상대방에게 줍니다.
대출을 받는 주민은, 그 대출금을 다시 돌려줄 때 그 금액에 정한만큼의 이자를 붙여 상대방에게 줍니다.

대출금에 대한 정보를 확인해, 채무 불이행을 판단하는 관련된 [Laws]을 추가로 설정해 계약할 수 있습니다. 해당 법률로 채무 불이행 시, 재산이나 토지를 압류하거나 벌금을 부과하거나 불이익을 줄 수 있습니다.
126;금융은 발전을 위해 화폐를 관리하는 모든 활동을 포함하는 개념입니다.
127;플레이어는 다른 플레이어의 명성에 영향을 끼칠 수 있습니다, 명성은 법률과 계약 등, 주민들이 상대방의 명성의 수치를 확인해 긍정적인 영향을 미치는 요인(수치가 낮다면 부정적)이 될 수 있습니다. 주민의 명성에 대해 확인하고 싶다면, 확인을 원하는 닉네임을 채팅을 적어 마우스를 올리면, 툴팁을 이용해 확인할 수 있습니다(모든 주민의 목록 확인을 원한다면 [Current Citizens]에서 확인 가능합니다).
128;명성은 멀티플레이에 최적화되어있는 기능입니다, 모든 주민은 누구에게나 한 번씩 명성을 줄 수 있는데, 긍정적인 의미로 +1 이상, 부정적인 의미로 -1 이하로 줄 수 있습니다.  명성 기능은, 소수의 주민과 깊은 관계를 맺어 명성을 획득하는 것보다 많은 주민들과 얕고 넓은 관계를 맺는 것이 명성 획득에 더욱 도움 됩니다.  Relative Reputation은 당신이 명성을 준 상대에게서 받을 수 있는 또 다른 명성의 수치입니다.
129;다른 시민들 또는 법률을 통해서 설정되는 값으로 사회적 지위를 나타냅니다.
130;연구를 통해 새로운 종류의 물품과 기술과 같은, 다른 이들과 나눌 수 있는 지식을 발견할 수 있습니다.  연구는 기술 책을 제작하는 [ResearchTableItem]에서 할 수 있습니다.  연구 작업대에서 만든 기술 책은, 사용하면 주민의 기술을 잠금해제 할 수 있는 기술 두루마리를 무한으로 생성할 수 있습니다.
기술 두루마리는 한번 사용하면 없어지는 물품으로, 기술 두루마리를 이용해 잠금을 해제하고 레벨업 후 기술을 선택해  [Skills|skills overview] 시스템에서 기술 효과를 받을 수 있습니다.  기술 두루마리로 새로운 기술을 습득하게 되면 주민은 [Property Claim Papers|Property] 묶음을 얻을 수 있습니다, 기술을 획득하고 문서를 이용해 땅을 넓힐 수 있습니다.

기술 책은 만들기 어려운 물품 중 하나이기에, 대부분의 경우 기술 책을 제작하기 위해 여러 주민이 협동해 다양한 재료와 필요한 노동력을 공급해주어야 합니다.  그렇기 때문에, 연구 관련 작업은 물품을 만들기 위해서 주민들이 협업해서 완성을 한다면 곧바로 관련된 지식을 누구나 얻을 수 있어, [Work Parties]이 제공하는 기능과 아주 잘 맞습니다.
131;연구를 통해 제작한 지식은 모두와 공유할 수 있고, 새로운 종류의 물품과 기술의 잠금을 해제합니다.
132;Eco의 세계에선 주민들과의 거래는 필수적입니다, 모든 플레이어는 자신만의 특별한 [Specialties]을 가지고 있어 자신이 가지고 있지 않은 전문직의 특성을 거래를 통해 효율적으로 해결할 수 있습니다.
 - 거래는 [Store Component]를 이용해, 원하는 물품들의 구매/판매 가격을 설정해 상점을 설치할 수 있습니다.  당신의 접속 여부와 상관없이 주민들은 상점에서 물품을 구매/판매 할 수 있습니다.
 - 노동력의 거래는 [Contracts]과 [Work Parties]을 이용해, 상호 간 합의된 항목들을 통해 일하고 보상을 받을 수 있습니다.  이 또한 상대방의 접속 여부와 상관없습니다.
 - 화폐 간의 환전은 [Currency Exchange|Exchange Component]를 이용해, 다른 화폐들의 구매/판매 목록을 확인할 수 있습니다.
 - [Transport]과 운송수단을 통해 피어나는 문명의 중심지와 거래가 더욱 용이해진다면 이는 곧 거래의 효율이 급격하게 상승할 것입니다.
 - 거래행위는 정부([government overview])가 설정한 [Taxes] 부과로 인해 특정 거래의 가치를 촉진시키거나 감소시킬 수 있습니다.
133;각자 다른 능력을 갖춘 시민들이 만든 상호 보완적인 물품의 거래는 곧 경제의 중추가 됩니다.
134;세계의 자원은 곳곳에 퍼져있어서 자원을 획득하고 물품으로 가공하는 플레이어들의 위치가 다른 만큼, 운송이란 개념은 Eco의 세계에서 성공을 향한 아주 중요한 요소가 됩니다.
효율적으로 재료를 가공하기 위해선, 그 재료를 실을 운송 수단을 만들어야 하고, 운송수단은 이동을 위한 평지가 필요할 것입니다.  [StoneRoadToolItem]를 이용해 땅을 평평하게 만들어 운송수단이 이동할 수 있고, 경사로를 이용해 높낮이가 다른 곳도 부드럽게 올라갈 수 있습니다.  운송수단이 발전함에 따라 에너지의 효율 문제로 도로도 같이 발전되어야만 합니다, 그렇기 때문에 새로운 기술이 개발되면 도로 또한 순차적으로 개발되어야 합니다.

마을과 자원 저장고 간의 도로를 건설하기 위해선 시간과 주민의 수많은 노력이 필요합니다, 그러므로 [Work Parties]을 게시하고 [Taxes]을 자금으로 사용해 뛰어난 지원자를 구해야 합니다. 기술이 발전함에 따라서, 상업의 흐름에 따라 교통의 인프라가 점점 더 많이 구축될 텐데, 이로 인해 도로의 발전과 운송수단의 사용은 환경에 영향을 미치기 시작하는 단계에 이르게 될 것입니다.  이러한 영향을 세심하게 관리한다면 생태계에 닥칠 위험을 방지하는 열쇠가 되어 줄 것입니다.
135;자원의 생산량과 소모량이 점점 늘어남에 따라, 교통의 인프라가 필요해지며 이를 구축해 나가며 세계는 변화해 갑니다.
136;동업 계약은 여러 주민이 서로 협동하여 작업을 완수하는 계약입니다.  계약을 시작하려는 주민이 작업 주문을 해두고 [Contract Board|Contract Board Component]에서 계약을 시작할 수 있습니다.
동업계약을 시작하려는 주민은 다음과 같은 계약의 조건들을 고려할 수 있습니다:
 - 완료 시켜야 하는 작업 주문 선택하기.
 - 협동 계약에 참여하려는 주민의 조건 설정하기.
 - 작업에 기여한 주민들의 보상 결정하기.
 - 보상의 분배의 방식 선택하기.
 - 보상의 분배의 방식 선택하기.

협동 계약은 특히 [Research]의 제작을 할 때 더욱 유용합니다. 협동 계약 시작 전 연구 작업을 시작해두고, 얼마만큼의 재료가 필요한지 파악 후, 협동 계약을 게시할 수 있습니다. 그렇게 되면 다른 주민들은 해당 계약을 보고 참여해(계약을 게시한 주민이 접속 중이 아니더라도, 참여 조건을 충족시킨다면) 자신에게 주어진 일을 시작할 것 입니다.

보상은 다음과 같은 다양한 방식으로 줄 수 있습니다:
 - [Currency]는, 작업에 얼마나 기여했느냐에 따라 분배 할 수 있으며, 작업 시작 즉시 지급하거나 작업 완료 후 지급할 수 있습니다.
 - [Reputation]은, 협동 계약을 게시한 주민이 노동자에게 지급할 수 있습니다(상대방에게 줄수있는 명성의 한계치까지만 지급할 수 있습니다).
 - 특정한 특성의 지식을 줄 수 있습니다(기술 두루마리와 같은 기능입니다). 이 보상을 위해선, 합동 계약의 게시자가 해당 특성의 기술 책을 소지하고 있거나, 계약의 작업 목록에 기술 책의 제작이 있어야만 합니다.
 - [Title]를 지급한다면, 특정 사유지 및 다른 기능들을 사용할 수 있는 권한을 부여할 수 있습니다.

Eco의 경제는 단순히 물품의 거래 행위뿐만이 아닌 노동력의 거래까지 초점을 두고 있으며, 대부분의 사람들이 협동 계약을 통해 다양한 종류의 작업을 보다 쉽게 해낼 수 있게 합니다.
137;동업 계약은 다양한 플레이어들이 자신에게 주어진 일을 해내는 공동 계약으로, 다양한 방식으로 보상을 분배합니다.
138;세계는 살아 숨 쉬는 생물군계로, 인간이 생존에 필요한 자원들이 내재되어 있습니다.
139;행성을 아우르는 생명의 거대한 다양성과 풍요로움이 가득한 세계의 광범위한 영역의 분류를 우리는 지형이라 부릅니다. Eco의 세계에선 강수량과 온도를 이용해 특정 범위들로 나누어 지형으로 설정되어 있습니다. 자연의 법칙을 기반으로 설계함으로써, 미생물이나 균류, 동물 등 종이 다른 생물들도 Eco 세계의 지형에서 살아남고, 번성할 수 있습니다. Eco에 존재하는 지형들만의 고유한 자원들을 배치해 플레이어가 그 자원을 발견하고, 획득하게 함으로써 사회를 세우고, 발전시킬 수 있게 합니다. 지구에 존재하는 것처럼, 자원과 기후의 영향으로 거주지, 식생활, 토양(농경)으로 묶인 상호의존적인 삶의 공동체가 모든 지형마다 생겨납니다.

이 세계의 모든 생태계의 소분류인 지형은, 사막 지형의 고지대 사막, 초원 지형의 키 큰 풀이 자라는 지대, 툰드라 지형의 빙하지대, 바다 지형의 해안지대 등, 지대를 포함하고 있습니다. 지형과 지대는 서로 매우 밀접한 관련이 있어, 대부분의 경우에 지형의 근처 또는 지형에 포함되는 지대의 종류는 제한적입니다. 시간이 흐르면서, 플레이어가 지형에 영향을 미쳐 지형의 조건이 바뀌면 지형과 지대의 근본적인 모습 또한 바뀔 것입니다.

